business.day.of.month,mean.err,sd.err,median.err,mad.err
1,0.010245470790577825,0.10425348896664352,0.004834414036526624,0.0843925179629017
2,0.004760082368462626,0.09054159926244561,-0.017874889960894702,0.05458260172031649
3,-0.016316207326982315,0.06256206573820129,-0.028488431650266266,0.0527829733150358
4,-0.007304470045806067,0.060823938910319564,-0.021217881799401206,0.04032013894883843
5,0.0013291208697789973,0.05702087581525906,-0.010771036363871445,0.03508129155334628
6,0.006942669393771577,0.055337219280058726,-0.007415973708271406,0.040765711878174855
7,0.011150616668532188,0.05366566083685228,0.0010582705817838711,0.047991537433904795
8,0.012281147823184407,0.04988285221512264,8.873310953887437e-4,0.03828902157519828
9,0.01702154620260329,0.0494191380476831,0.0066351899296925865,0.04315149817103106
10,0.012041151956238842,0.052337464142215746,0.00932303584057892,0.050487042475596565
11,0.009338452236973086,0.048907835950669595,0.0034186151536332865,0.05059570516610263
12,-0.0017219978533317003,0.04681630902798983,-0.007948103309344146,0.04573103559389722
13,-0.003789073188382053,0.04300175673046431,-0.005789581553743095,0.03875869663934889
14,-0.0011583157101809516,0.03924567651082433,-0.004601900998021935,0.04315920474552908
15,-0.0034564901875432483,0.03604662485237176,-0.005493482666268812,0.0348611260530341
16,-0.004767112119948088,0.03347002629822617,-0.007455240082275605,0.03832295065244754
17,-0.0030184287910897914,0.03252140899936096,-0.006252412624549231,0.03631073909182038
18,-0.0022770431954916123,0.030667287910621246,-0.005284976365662719,0.03257274268427481
19,-0.0016360855068442914,0.028493256852071793,-0.005985225651472581,0.03037696811995004
20,-0.002925688252209825,0.028230505442573415,-0.007843536247599703,0.03401970182401077
21,-0.003953465322993115,0.02761148450832292,-0.010328904507729053,0.032213797651271144
22,-0.0036580644672311235,0.025111503151161358,-0.00931702738269602,0.03769491995630657
23,0.005348292966323975,0.01593893678324,-0.0044486744932986655,0.0046508896279729706
